"","pac_id","Contributor.Name","name_variants","is_seed","status","unresolvable_reason","is_federal_pac","suspected_federal_pac","suspected_federal_reason","is_major_donor_ie","is_candidate_pac","low_data_sufficiency","unknown_data_sufficiency","data_ok","contributor_is_dc_based","total_received","total_donated_all","data_sufficiency","unitemized_amount","under_5k_amount","over_5k_amount","pct_over_5k","total_direct_over_5k","total_resolvable","pct_resolvable","classification_status"
"239","1221342","ENTERPRISE HOLDINGS, INC. POLITICAL ACTION COMMITTEE - FEDPAC ID# C00219642","Enterprise Holdings, Inc. / Enterprise Mobility PAC (FEC ID# C00219642) | Enterprise Holdings, Inc. / Enterprise Mobility PAC (Fed PAC ID #C00219642) | Enterprise Holdings, Inc. / Enterprise Mobility PAC (FEDPAC ID# C00219642) | Enterprise Holdings, Inc. / Enterprise Mobility Political Action Committee | Enterprise Holdings, Inc. / Enterprise Mobility Political Action Committee - FEDPAC ID# C00219642 | ENTERPRISE HOLDINGS, INC. / ENTERPRISE MOBILITY POLITICAL ACTION COMMITTEE - FEDPAC ID# C00219642 | Enterprise Holdings, Inc. PAC | ENTERPRISE HOLDINGS, INC. POLITICAL ACTION COMMITTEE - FEDPAC ID# C00219642 | Enterprise Holdings, Inc./ Enterprise Mobility PAC (Fed PAC ID #C00219642) | Enterprise Holdings, Inc./Enterprise Mobility PAC | Enterprise Holdings, Inc./Enterprise Mobility PAC - (FEC ID# C00219642) | Enterprise Holdings, Inc./Enterprise Mobility PAC (FEC ID# C00219642) | Enterprise Holdings, Inc./Enterprise Mobility PAC (FED PAC ID #C00219642) | Enterprise Holdings, Inc./Enterprise Mobility PAC (FED PAC ID# C00219642) | Enterprise Holdings, Inc./Enterprise Mobility PAC (FEDPAC ID# C00219642) | Enterprise Holdings, Inc./Enterprise Mobility Political Action Committee | Enterprise Holdings, Inc./Enterprise Mobility Political Action Committee - FEDPAC ID# C00219642 | Enterprise Holdings, Inc/Enterprise Mobility Political Action Committee",FALSE,NA,"federal_pac",TRUE,FALSE,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,"unresolvable"
"240","1477268","Juan Carrillo for Assembly 2026","Juan Carillo for Assembly 2026 | Juan Carrillo for Assembly 2026",FALSE,NA,NA,FALSE,FALSE,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,"classify_as_candidate"
"241","1478170","Avila Farias for State Assembly 2026","Avila Farias for Assembly 2026 | Avila Farias for State Assembly 2026",TRUE,"resolved",NA,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,838848.93,107922.27,7.77271391715538,35,291038.93,547575,0.652769504039303,547575,421952.961006846,1.50301424477807,"classify_as_candidate"
"242","1476870","Stephanie Nguyen for Assembly 2026","Stephanie Nguyen for Assembly 2026 | STEPHANIE NGUYEN FOR ASSEMBLY 2026",TRUE,"resolved",NA,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,858869.41,142600,6.02292713884993,289,315180.41,542500,0.631644338107233,542500,423587.606095483,1.49319209784813,"classify_as_candidate"
"243","1479794","Working Families in Support of Gabby Chavez-Lopez for City Council 2025","Working Families in Support of Gabby Chavez-Lopez for City Council 2025",FALSE,NA,NA,FALSE,FALSE,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,"classify_as_candidate"
"244","1479934","Smart Justice America Action Fund (Federal ID# C00889832)","Smart Justice America Action Fund (FEC ID# C00889832) | Smart Justice America Action Fund (Federal ID #C00889832) | Smart Justice America Action Fund (Federal ID# C00889832)",FALSE,NA,"federal_pac",TRUE,FALSE,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,"unresolvable"
"245",NA,"Jessica Morse for Congress (FEC ID#C00650408)",NA,NA,NA,"federal_pac",TRUE,FALSE,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,"unresolvable"
"246",NA,"SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 1021 CANDIDATE PAC",NA,NA,NA,"pac_no_id",FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,"unresolvable"
"247",NA,"California Westside Farmers Fed PAC",NA,NA,NA,"federal_pac",TRUE,FALSE,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,"unresolvable"
"248","1372848","Honeywell International PAC (FED PAC ID# C00096156)","Honeywell International PAC | Honeywell International PAC (FEC ID# C00096156) | Honeywell International PAC (FED ID# C00096156) | Honeywell International PAC (fed PAC ID #c00096156) | Honeywell International PAC (FED PAC ID #C00096156) | HONEYWELL INTERNATIONAL PAC (FED PAC ID #C00096156) | Honeywell International PAC (FED PAC ID# C00096156) | Honeywell International PAC ID#C00096156 | Honeywell International Political Action Committee (FEC ID#C00096156)",FALSE,NA,"federal_pac",TRUE,FALSE,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,0,0,0,"unresolvable"
"249","1476859","Carl DeMaio for State Assembly 2026","Carl De Maio for State Assembly 2026 | CARL DEMAIO FOR ASSEMBLY 2026 | Carl Demaio for State Assembly 2026 | Carl DeMaio for State Assembly 2026 | CARL DEMAIO FOR STATE ASSEMBLY 2026",FALSE,NA,NA,FALSE,FALSE,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,"classify_as_candidate"
"250","1452149","Grove for Board of Equalization 2026","Grove for Board of Equalization 2026 | Grove For Board of Equalization 2026 | Grove For Board Of Equalization 2026 | Shannon Grove for BOE",FALSE,NA,NA,FALSE,FALSE,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,"classify_as_candidate"
"251","1329180","The Boeing Company PAC (FEC ID# C00142711)","Boeing Company Political Action Committee (fed PAC ID C00142711), the | The Boeing Company PAC | The Boeing Company PAC (FEC ID #C00142711) | The Boeing Company PAC (FEC ID# C00142711) | The Boeing Company PAC (Fed ID #C00142711) | The Boeing Company PAC (Fed ID C00142711) | The Boeing Company PAC (FED PAC ID #C00142711) | The Boeing Company PAC (Fed PAC ID C00142711) | The Boeing Company PAC (FED PAC ID C00142711) | The Boeing Company PAC (Fed PAC ID# C00142711) | The Boeing Company PAC (FED PAC ID# C00142711) | The Boeing Company Political Action Committee (fed PAC ID C00142711) | The Boeing Company Political Action Committee (FED PAC ID C00142711)",FALSE,NA,"federal_pac",TRUE,FALSE,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,"unresolvable"
"252","1244939","Vulcan Materials Company PAC (FEC ID# C00116020)","Vulcan Materials Company PAC | Vulcan Materials Company PAC (FEC ID #C00116020) | Vulcan Materials Company PAC (FEC ID# C00116020) | Vulcan Materials Company PAC (FED ID C00116020) | Vulcan Materials Company PAC (FED PAC ID #C00116020) | Vulcan Materials Company PAC (Fed PAC ID C00116020) | Vulcan Materials Company PAC (FED PAC ID C00116020) | Vulcan Materials Company Political Action Committee | Vulcan Materials Company Political Action Committee (FED PAC ID C00116020) | Vulcan Materials Company Political Action Committee (Federal PAC ID# C00116020)",FALSE,NA,"federal_pac",TRUE,FALSE,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,"unresolvable"
"253","1021823","PACE of California School Employees Association Small Contributor Committee","PACE of CA School Employees | PACE of CA School Employees Assn PAC - SCC | PACE of Caifornia School Employees Association Small Contributor Committee | PACE of California School Employee Association Small Contribution Committee | PACE of California School Employees Assocaition | PACE of California School Employees Association | PACE OF CALIFORNIA SCHOOL EMPLOYEES ASSOCIATION | Pace Of California School Employees Association SCC | PACE of California School Employees Association SCC | PACE of California School Employees Association Small Contributor Committee | PACE Of California School Employees Association Small Contributor Committee | PACE of California School Employes Association Small Contributor Committee | Political Action for Classified Employees of California School Employees (PACE) | Political Action for Classified Employees of California School Employees Association",FALSE,"resolved","pac_low_5k_coverage",FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1055526.55,1051000,1.0043068981922,1053433.25,1338.1,0,0,0,0,0,"unresolvable"
