"entity_name","review_group_id","original_group_id","entity_id","canonical_name","entity_status","conflicting_contributor_ids","confirmed","link_methods","Contributor.ID","n_contributions","total_amount","max_single_recipient","same_recipient_variant","city","state","zip"
"AMERICAN BEVERAGE ASSOCIATION CALIFORNIA PAC","org_rg_73","org_rg_73","2a625816-047f-40f5-b498-099a3bc2ab56","AMERICAN BEVERAGE ASSOCIATION OF CALIFORNIA","adding_to_existing",FALSE,TRUE,"exact_name_v1 | internal_fuzzy | internal_fuzzy+map1_bridge | map1_bridge | same_contributor_id | exact_name_v1 | same_contributor_id","1344506",6,580000,1150000,TRUE,"San Rafael","CA","94901 | 94901-5596"
"AMERICAN BEVERAGE ASSOCIATION CALIFORNIA PAC (NON-PROFIT 501 (C) (6))","org_rg_73","org_rg_73","2a625816-047f-40f5-b498-099a3bc2ab56",NA,"adding_to_existing",FALSE,FALSE,"exact_name_v4 | same_contributor_id","1344506",1,2500,1150000,FALSE,"San Rafael","CA","94901"
"AMERICAN BEVERAGE ASSOCIATION CALIFORNIA PAC (NON-PROFIT 501 (C)(6))","org_rg_73","org_rg_73","2a625816-047f-40f5-b498-099a3bc2ab56","AMERICAN BEVERAGE ASSOCIATION OF CALIFORNIA","adding_to_existing",FALSE,TRUE,"exact_name_v1 | exact_name_v4 | same_contributor_id","1344506",2,8400,1150000,TRUE,"San Rafael","Ca","94901"
"AMERICAN BEVERAGE ASSOCIATION CALIFORNIA PAC (NON-PROFIT 501(C)(6))","org_rg_73","org_rg_73","2a625816-047f-40f5-b498-099a3bc2ab56","AMERICAN BEVERAGE ASSOCIATION OF CALIFORNIA","adding_to_existing",FALSE,TRUE,"exact_name_v4 | same_contributor_id","1344506",1,75000,1150000,FALSE,"San Rafael","CA","94901"
"AMERICAN BEVERAGE ASSOCIATION PAC","org_rg_73","org_rg_73","2a625816-047f-40f5-b498-099a3bc2ab56","AMERICAN BEVERAGE ASSOCIATION OF CALIFORNIA","adding_to_existing",FALSE,TRUE,"exact_name_v1 | map1_bridge | same_contributor_id | exact_name_v1 | same_contributor_id","1344506",5,6e+05,1150000,TRUE,"San Rafael","CA","94901-5596"
"AMERICAN NURSES ASSOCIATION CALIFORNIA","org_rg_73","org_rg_73","03a67568-8895-46e9-b21c-390aa9677c6a",NA,"adding_to_existing",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,2,8000,1150000,FALSE,"Sacramento","CA","95814"
"REDWOOD CREDIT UNION","org_rg_7301","org_rg_7301","825d4d98-8411-4f11-b350-17c680de6c03","REDWOOD CREDIT UNION","adding_to_existing",FALSE,TRUE,"exact_name_v1 | exact_name_v4",NA,3,25500,98000,TRUE,"Santa Rosa","CA","95403 | 95406"
"REDWOOD CREDIT UNION (INDEP EXPENDITURE ACCOUNT)","org_rg_7301","org_rg_7301","825d4d98-8411-4f11-b350-17c680de6c03",NA,"adding_to_existing",FALSE,FALSE,"exact_name_v1 | exact_name_v4",NA,2,78400,98000,TRUE,"Santa Rosa","CA","94503"
"RESCUE FEDERATION OF TEACHERS (UNITEMIZED MEMBER CONTRIBUTIONS)","org_rg_7353","org_rg_7353","09bcd6a2-4a68-4e79-a7fd-33d48725ed04",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,26,12633.42,12807.47,TRUE,"El Dorado Hills","CA","95762"
"RESCUE UNION FEDERATION OF TEACHERS (UNITEMIZED MEMBER CONTRIBUTIONS)","org_rg_7353","org_rg_7353","8e984fb5-33c0-491c-af09-8d5a9008e28d",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,11,6322.05,12807.47,TRUE,"El Dorado Hills","CA","95762"
"RHC MANAGEMENT CO., LLC.(RESPONSIBLE OFFICER RAYMOND COSTA)","org_rg_7382","org_rg_7382","ddd33de9-a6bb-45a8-b074-6c33f8a319ef",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,27,22457.48,66209.94,TRUE,"SALINAS","CA","93906"
"RHC MANAGMENT CO., LLC.(RESPONSIBLE OFFICER RAYMOND COSTA)","org_rg_7382","org_rg_7382","0a3e2988-68ce-4029-b7df-0863d7403459",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,54,43752.46,66209.94,TRUE,"SALINAS","CA","93906"
"AFT 2317 FED OF TEACHERS (INTERMEDIARY FOR UNITEMIZED MEMBER DUES)","org_rg_743","org_rg_743","1fdee54e-172f-4c58-bad1-695ca31a5e81",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,51,3483.81,5615.02,TRUE,"Cerritos | Washington","CA | DC","20672 | 90703"
"AFT 2357 POWAY FED OF TEACHERS (INTERMEDIARY FOR UNITEMIZED MEMBER DUES)","org_rg_743","org_rg_743","3670ddc0-2261-4678-aef2-ec407ed8c4a1",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,51,5874.59,5615.02,TRUE,"Poway | Washington","CA | DC","20673 | 92064"
"SAFE 1 CREDIT UNION","org_rg_7663","org_rg_7663","cec5b780-e617-46ee-8075-21a141dda169",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v4 | exact_name_v1 | exact_name_v4 | internal_fuzzy",NA,2,19600,80350,TRUE,"Bakersfield","CA","93311"
"SAFE 1 CREDIT UNION (INDEP EXPENDITURE ACCOUNT)","org_rg_7663","org_rg_7663","cec5b780-e617-46ee-8075-21a141dda169",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v4",NA,3,15750,80350,TRUE,"Bakersfield","CA","93311"
"SAFE CREDIT UNION","org_rg_7663","org_rg_7663","ad7a0b2a-4e8a-467b-8244-4f77ff22ec93",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v4 | exact_name_v1 | exact_name_v4 | internal_fuzzy",NA,4,21600,80350,TRUE,"Folsom | Sacramento","CA","95630 | 95834"
"SAFE CREDIT UNION (INDEP EXPENDITURE ACCOUNT)","org_rg_7663","org_rg_7663","ad7a0b2a-4e8a-467b-8244-4f77ff22ec93",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v4",NA,2,25400,80350,TRUE,"North Highlands","CA","95660"
"TRI POINTE HOMES HOLDINGS, INC.","org_rg_77","org_rg_77","82d20a82-2599-427a-993e-2c12dac4b0e0",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | same_contributor_id","1354895",3,474760,689340,TRUE,"Irvine","CA","92612"
"TRI POINTE HOMES, INC.","org_rg_77","org_rg_77","82d20a82-2599-427a-993e-2c12dac4b0e0",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | same_contributor_id","1354895",1,148500,689340,TRUE,"Irvine","CA","92612"
"TRI POINTE HOMES, INC.","org_rg_77","org_rg_77","82d20a82-2599-427a-993e-2c12dac4b0e0",NA,"new_entity",FALSE,FALSE,"exact_name_v1",NA,3,189160,689340,TRUE,"Irvine","CA","92612"
"SAN DIEGO COUNTY BUILDING TRADES COUNCIL FAMILY HOUSING CORPORATION NO. 1 DBA NATIONAL CITY PARK APARTMENTS C1","org_rg_7707","org_rg_7707","17d9c82a-736c-4ce7-8906-af8fbcf69ce2",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,3,23225,50000,TRUE,"National City","CA","91950"
"SAN DIEGO COUNTY BUILDING TRADES COUNCIL FAMILY HOUSING CORPORATION NO. 2 DBA NATIONAL CITY PARK APARTMENTS C2","org_rg_7707","org_rg_7707","b7e88a5e-01a2-46a7-ade7-e41a4a54fd79",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,3,26775,50000,TRUE,"National City","CA","91950"
"SAN DIEGO COUNTY BUILDING TRADES COUNCIL FAMILY HOUSING CORPORATION ONE DBA NATIONAL CITY PARK APARTMENTS","org_rg_7707","org_rg_7707","87be2989-4ae2-44e9-a795-14bceacf36c8",NA,"new_entity",FALSE,FALSE,"internal_fuzzy",NA,1,475,50000,FALSE,"National City","CA","91950"
