"entity_name","review_group_id","original_group_id","entity_id","canonical_name","entity_status","conflicting_contributor_ids","confirmed","link_methods","Contributor.ID","n_contributions","total_amount","max_single_recipient","same_recipient_variant","city","state","zip"
"CALIFORNIA CONFERENCE OF CARPENTERS","org_rg_1","org_rg_1","b658f640-1888-4aa3-a2d8-c560dc7fb59c",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy | map1_bridge",NA,18,16891.14,1200000,FALSE,"Oakland","CA","94621"
"CALIFORNIA CONFERENCE OF CARPENTERS - BUILDING COMMUNITIES FUND","org_rg_1","org_rg_1","df7f7035-c405-41d0-b854-61161e807efa",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v5 | same_contributor_id","1430404",2,25000,1200000,FALSE,"Sacramento","CA","95814"
"CALIFORNIA CONFERENCE OF CARPENTERS-BUILDING COMMUNITIES FUND","org_rg_1","org_rg_1","df7f7035-c405-41d0-b854-61161e807efa",NA,"new_entity",TRUE,FALSE,"exact_name_v5 | internal_fuzzy | same_contributor_id","1430404",1,1600000,1200000,FALSE,"Sacramento","CA","95814-2328"
"NORTH COAST STATES REGIONAL COUNCIL OF CARPENTERS POWER PAC SMALL CONTRIBUTOR COMMITTEE","org_rg_1","org_rg_1","9e62cbc2-f7d4-4056-b452-bbb52b5369ef",NA,"new_entity",TRUE,FALSE,"same_contributor_id","972104",1,11800,1200000,FALSE,"Sacramento","CA","95814"
"NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL ISSUES PAC (NCCRC)","org_rg_1","org_rg_1","9e62cbc2-f7d4-4056-b452-bbb52b5369ef",NA,"new_entity",TRUE,FALSE,"exact_name_v4 | same_contributor_id","1219354",1,4e+05,1200000,TRUE,"Sacramento","CA","95814"
"UNITED BROTHERHOOD OF CARPENTERS","org_rg_1","org_rg_1","c603cc05-566f-4493-8a19-99688b610ade",NA,"new_entity",TRUE,FALSE,"internal_fuzzy | map1_bridge",NA,1,50000,1200000,TRUE,"Washington","DC","20001"
"UNITED BROTHERHOOD OF CARPENTERS & JOINERS OF AMERICA","org_rg_1","org_rg_1","939f4aa0-2cb3-4be6-8ab4-a5f2be8975cd",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,2,750000,1200000,TRUE,"Washington","DC","20001"
"LABORER'S INTERNATIONAL UNION OF NORTH AMERICA LOCAL NO. 220 (INTERMEDIARY FOR UNITEMIZED MEMBER CONTRIBUTIONS)","org_rg_10","org_rg_10","511e8d32-9518-4dd7-b2dd-56a1eb0b316c",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v4",NA,2,497.25,102485,TRUE,"Bakersfield","CA","93302"
"LABORERS 1309","org_rg_10","org_rg_10","4d023a60-692e-45c6-a835-dabf7baf9a5b",NA,"new_entity",TRUE,FALSE,"internal_fuzzy",NA,1,151.77,102485,TRUE,"Lakewood","CA","90712-4116"
"LABORERS INT'L UNION OF NORTH AMERICA, LOCAL 777 (LIUNA! LOCAL 777)","org_rg_10","org_rg_10","daffc6cb-0bff-4651-882c-db05ebf20105",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy+map1_bridge | map1_bridge",NA,3,456.24,102485,TRUE,"Phoenix","AZ","85034-1105"
"LABORERS INTERNATIONAL UNION OF NORTH AMERICA LOCAL 300 - AFL-CIO","org_rg_10","org_rg_10","b51add60-3957-456d-b4d7-b66251b7e70e",NA,"new_entity",TRUE,FALSE,"internal_fuzzy",NA,1,5800,102485,FALSE,"Los Angeles","CA","90006-5010"
"LABORERS INTERNATIONAL UNION OF NORTH AMERICA LOCAL 300 UNION (LIUNA 300)","org_rg_10","org_rg_10","62725799-3056-4708-9c94-a4886075fe58",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,10,1785.12,102485,TRUE,"Los Angeles","CA","90006-5010"
"LABORERS INTERNATIONAL UNION OF NORTH AMERICA LOCAL NO. 220","org_rg_10","org_rg_10","511e8d32-9518-4dd7-b2dd-56a1eb0b316c",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v4 | exact_name_v1 | exact_name_v4 | internal_fuzzy",NA,20,13561.66,102485,FALSE,"Bakersfield","CA","93302"
"LABORERS INTERNATIONAL UNION OF NORTH AMERICA LOCAL NO. 585, AFL-CIO (INTERMEDIARY FOR UNITEMIZED MEMBER CONTRIBUTIONS)","org_rg_10","org_rg_10","aff75ce8-252a-4d8f-851e-2d9a6cebbe23",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,18,1350,102485,TRUE,"Ventura","CA","93003"
"LABORERS INTL LOCAL 300","org_rg_10","org_rg_10","b28240a4-2513-492a-bb28-c24a236e635b",NA,"new_entity",TRUE,FALSE,"internal_fuzzy",NA,1,1000,102485,FALSE,"Los Angeles","CA","90006"
"LABORERS LOCAL #1184 (INTERMEDIARY FOR UNITEMIZED UNION MEMBER CONTRIBUTIONS)","org_rg_10","org_rg_10","6df4a18e-a359-4b7c-9a8b-ea01cca51e9e",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v5 | exact_name_v1 | exact_name_v5 | internal_fuzzy+map1_bridge | map1_bridge",NA,2,42999.89,102485,TRUE,"Riverside","CA","92501 | 92501-"
"LABORERS LOCAL #585 (INTERMEDIARY FOR UNITEMIZED UNION MEMBER CONTRIBUTIONS)","org_rg_10","org_rg_10","1e021132-03b5-4c48-9729-b7920cfa8b2c",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy+map1_bridge | map1_bridge",NA,2,6175.33,102485,TRUE,"Ventura","CA","93003 | 93003-"
"LABORERS LOCAL 1184 (INTERMEDIARY FOR UNITEMIZED DUES)","org_rg_10","org_rg_10","6df4a18e-a359-4b7c-9a8b-ea01cca51e9e",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v5",NA,15,1875,102485,TRUE,"Sacramento","CA","95811"
"LABORERS LOCAL UNION NO. 783-PAC","org_rg_10","org_rg_10","5643ca6f-4e65-453f-9c62-937d6d107211",NA,"new_entity",TRUE,FALSE,"map1_bridge | same_contributor_id","981333",1,5000,102485,TRUE,"San Bernardino","CA","92408-2110"
"LABORERS' LOCAL 304 PAC","org_rg_10","org_rg_10","88160ecf-d10e-4595-b19f-bce8422beb1f",NA,"new_entity",TRUE,FALSE,"internal_fuzzy","902565",1,1500,102485,FALSE,"Sacramento","CA","95814"
"PLUMBERS & FITTERS LOCAL #230 (INTERMEDIARY FOR UNITEMIZED UNION MEMBER CONTRIBUTIONS)","org_rg_10","org_rg_10","7e5fa426-ac26-4e2c-aed8-e165abb78665",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,12,22214.29,102485,TRUE,"San Diego","CA","92121 | 92121-"
"PLUMBERS & FITTERS LOCAL #364 (INTERMEDIARY FOR UNITEMIZED UNION MEMBER CONTRIBUTIONS)","org_rg_10","org_rg_10","6423950e-c546-42b5-8190-dfd656131329",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,12,9783.97,102485,TRUE,"Colton","CA","92324"
"PLUMBERS & FITTERS LOCAL #442 (INTERMEDIARY FOR UNITEMIZED UNION MEMBER CONTRIBUTIONS)","org_rg_10","org_rg_10","f77be711-1353-4040-9faf-ec5105fe660d",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,13,6663.83,102485,TRUE,"Stockton","CA","95204 | 95204-"
"PLUMBERS & FITTERS LOCAL #447 (INTERMEDIARY FOR UNITEMIZED UNION MEMBER CONTRIBUTIONS)","org_rg_10","org_rg_10","3f2be15e-4010-4791-ae0f-13dcb9805f1b",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,25,28923.3,102485,TRUE,"Sacramento","CA","95819 | 95819-"
"PLUMBERS & FITTERS LOCAL #460 (INTERMEDIARY FOR UNITEMIZED UNION MEMBER CONTRIBUTIONS)","org_rg_10","org_rg_10","f3f4265b-4b41-4bbd-afa9-0a9ef144e3b4",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,12,7178.27,102485,TRUE,"Bakersfield","CA","93308"
"PLUMBERS & FITTERS LOCAL #467 (INTERMEDIARY FOR UNITEMIZED UNION MEMBER CONTRIBUTIONS)","org_rg_10","org_rg_10","d50b320e-454f-4753-8fc4-227d1e4c8375",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,24,20207.39,102485,TRUE,"Burlingame","CA","94010 | 94010-"
"PLUMBERS & FITTERS LOCAL #761 (INTERMEDIARY FOR UNITEMIZED UNION MEMBER CONTRIBUTIONS)","org_rg_10","org_rg_10","6229b3fc-bcbc-4772-aaf3-6c6171740095",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,12,9172.57,102485,TRUE,"Burbank","CA","91505 | 91505-"
"PLUMBERS & PIPEFITTERS LOCAL 230 (INTERMEDIARY FOR UNITEMIZED DUES)","org_rg_10","org_rg_10","a5c17dfe-6c5e-4051-866d-b3b7b568b009",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,14,12000,102485,TRUE,"San Diego","CA","92121"
"PLUMBERS & STEAMFITTERS LOCAL 460","org_rg_10","org_rg_10","1d01136e-79fc-4bbb-997b-d2f304ba8552",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,21,3688.12,102485,FALSE,"Bakersfield","CA","93308"
"PLUMBERS & STEAMFITTERS LOCAL UNION 114","org_rg_10","org_rg_10","7bef6bd0-43fc-4a84-bcef-98630cb74ad7",NA,"new_entity",TRUE,FALSE,"same_contributor_id","890465",1,1500,102485,FALSE,"Sacramento","CA","95814"
"PLUMBERS & STEAMFITTERS LOCAL UNION NO. 398","org_rg_10","org_rg_10","9bd8dff3-f50e-48ad-81ff-a86922bfc3d3",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,18,4245.74,102485,FALSE,"Rancho Cucamonga","CA","91730"
"PLUMBERS & STEAMFITTERS LOCAL UNION NO. 484","org_rg_10","org_rg_10","4d104d3b-c874-4685-a591-76dfec48ed15",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,18,2932.36,102485,FALSE,"Ventura","CA","93001"
"PLUMBERS & STEAMFITTERS UA LOCAL 398","org_rg_10","org_rg_10","a03adadb-9ecd-4556-835f-6e40982d6a5f",NA,"new_entity",TRUE,FALSE,"same_contributor_id","890053",1,2500,102485,FALSE,"Rancho Cucamonga","CA","91730"
"PLUMBERS AND STEAMFITTERS LOCAL NO. 467","org_rg_10","org_rg_10","cbc70e78-0982-4d72-8275-da2ced80ccf7",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,19,9109.45,102485,FALSE,"Burlingame","CA","94010"
"PLUMBERS AND STEAMFITTERS LOCAL UNION 403 STATE & LOCAL POLITICAL ACTION FUND","org_rg_10","org_rg_10","f0c7c209-2f1b-4277-9abe-742ac1130a08",NA,"new_entity",TRUE,FALSE,"internal_fuzzy | map1_bridge","880500",1,2500,102485,TRUE,"San Luis Obispo","CA","93401-7108"
"PLUMBERS AND STEAMFITTERS LOCAL UNION NO. 114","org_rg_10","org_rg_10","5de3a0f4-8d35-4983-ab62-c0e74cee1e99",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,3,371.46,102485,FALSE,"Buellton","CA","93427"
"PLUMBERS AND STEAMFITTERS LOCAL UNION NO. 114 POLITICAL ACTION COMMITTEE","org_rg_10","org_rg_10","7bef6bd0-43fc-4a84-bcef-98630cb74ad7",NA,"new_entity",TRUE,FALSE,"internal_fuzzy | same_contributor_id","890465",1,5000,102485,TRUE,"Sacramento","CA","95814-4503"
"PLUMBERS AND STEAMFITTERS LOCAL UNION NO. 230","org_rg_10","org_rg_10","55ff43b3-ce03-4b85-9dde-3e1082faad34",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,14,3116.47,102485,FALSE,"San Diego","CA","92121"
"PLUMBERS AND STEAMFITTERS LOCAL UNION NO. 398 POLITICAL ACTION COMMITTEE","org_rg_10","org_rg_10","a03adadb-9ecd-4556-835f-6e40982d6a5f",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | internal_fuzzy | same_contributor_id | exact_name_v1 | same_contributor_id","890053",2,7000,102485,TRUE,"Rancho Cucamonga","CA","91730-4872"
"PLUMBERS AND STEAMFITTERS LOCAL UNION NO. 403 (INTERMEDIARY FOR UNITEMIZED MEMBER CONTRIBUTIONS)","org_rg_10","org_rg_10","e5c46861-2679-4680-ad49-c2f0f9d4df45",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,18,360,102485,TRUE,"San Luis Obispo","CA","93401"
"PLUMBERS AND STEAMFITTERS LOCAL UNION NO. 484 POLITICAL ACTION COMMITTEE","org_rg_10","org_rg_10","f061de82-6bf2-4f13-8c13-ee226e038b5d",NA,"new_entity",TRUE,FALSE,"internal_fuzzy","890439",1,10000,102485,TRUE,"Ventura","CA","93001-0354"
"PLUMBERS AND STEAMFITTERS LOCAL UNION NO. 582","org_rg_10","org_rg_10","7e2a1baf-1050-4cdd-8d66-36490ab2363f",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,17,7451.36,102485,FALSE,"Orange","CA","92868"
"PLUMBERS AND STEAMFITTERS U.A. LOCAL UNION 398 SCC","org_rg_10","org_rg_10","a03adadb-9ecd-4556-835f-6e40982d6a5f",NA,"new_entity",TRUE,FALSE,"same_contributor_id","890053",1,2500,102485,FALSE,"Rancho Cucamonga","CA","91730-4872"
"SPRINKLER FITTERS & APPRENTICES LOCAL 483 STATEWIDE PAC","org_rg_10","org_rg_10","5951047f-e277-4796-987d-37a38300c188",NA,"new_entity",TRUE,FALSE,"internal_fuzzy","1298011",1,5000,102485,TRUE,"Hayward","CA","94545-1167"
"SPRINKLER FITTERS AND APPRENTICES LOCAL 483","org_rg_10","org_rg_10","ac348a4b-5cf2-4cc0-b01e-68312f9e5230",NA,"new_entity",TRUE,FALSE,"internal_fuzzy",NA,1,483,102485,TRUE,"Hayward","CA","94545"
"SPRINKLER FITTERS AND APPRENTICES U.A. LOCAL 483 (INTERMEDIARY FOR UNITEMIZED MEMBER CONTRIBUTIONS)","org_rg_10","org_rg_10","d01549c8-b24d-434f-9d4c-4067d0cb612b",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,3,235.45,102485,FALSE,"Hayward","CA","94545"
"SPRINKLER FITTERS LOCAL #483 (INTERMEDIARY FOR UNITEMIZED UNION MEMBER CONTRIBUTIONS)","org_rg_10","org_rg_10","3e81fb4b-939d-4a40-969f-c973c12ceb33",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v5 | exact_name_v1 | exact_name_v5 | internal_fuzzy | map1_bridge",NA,10,8271.11,102485,TRUE,"Hayward","CA","94545 | 94545-"
"SPRINKLER FITTERS LOCAL #669 (INTERMEDIARY FOR UNITEMIZED UNION MEMBER CONTRIBUTIONS)","org_rg_10","org_rg_10","80667e30-e003-40fc-8a79-7f6f2ae7ac6a",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,4,3045.32,102485,TRUE,"Columbia","MD","21046"
"SPRINKLER FITTERS LOCAL 483 (REPRESENTS UNITEMIZED MEMBER DUES)","org_rg_10","org_rg_10","3e81fb4b-939d-4a40-969f-c973c12ceb33",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v5",NA,5,102002,102485,TRUE,"Hayward","CA","94545"
"SPRINKLER FITTERS LOCAL NO. 483","org_rg_10","org_rg_10","6855c9c0-eb8a-4a21-9156-30d0ea99239e",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | internal_fuzzy | same_contributor_id | exact_name_v1 | same_contributor_id","1298012",2,3000,102485,FALSE,"Hayward","CA","94545"
"SPRINKLER FITTERS LOCAL NO. 709","org_rg_10","org_rg_10","e7c06c2d-f7ef-4f46-859c-9a2e5ad59d8b",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,2,95.38,102485,TRUE,"Whittier","CA","90606-2602"
"STEAMFITTERS LOCAL 342 POLITICAL ACTION COMMITTEE","org_rg_10","org_rg_10","436586f2-6596-4994-a305-1a5a37db0169",NA,"new_entity",TRUE,FALSE,"same_contributor_id","890268",1,39200,102485,TRUE,"Concord","CA","94518-2501"
"UA JOURNEYMEN & APPRENTICES LOCAL 250 PAC","org_rg_10","org_rg_10","cbcbd425-5659-49ea-a74a-7c2686d1205a",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | map1_bridge | same_contributor_id | exact_name_v1 | same_contributor_id","743959",2,19600,102485,FALSE,"Gardena","CA","90248"
"UA LOCAL 342","org_rg_10","org_rg_10","7c535a21-62b1-44c0-a5db-2456b014d687",NA,"new_entity",TRUE,FALSE,"map1_bridge",NA,1,190,102485,FALSE,"Concord","CA","94518"
"UNITED ASSOCIATION LOCAL UNION 345","org_rg_10","org_rg_10","da5f5092-d492-46c0-a207-4c980eee5f02",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,4,2350.53,102485,FALSE,"Duarte","CA","91010"
"UNITED ASSOCIATION OF PLUMBERS & STEAMFITTERS LOCAL UNION #484 (INTERMEDIARY FOR UNITEMIZED MEMBER CONTRIBUTIONS)","org_rg_10","org_rg_10","522c7ef3-29a0-4997-a4de-1523aa935419",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,17,373.57,102485,TRUE,"Ventura","CA","93001"
"CALIFORNIA YIMBY","org_rg_100","org_rg_100","e5c2f0d4-7cad-45a3-b769-5d496d552c37","CA YIMBY VICTORY FUND","adding_to_existing",TRUE,TRUE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,19,36585.9,15500,FALSE,"Sacramento","CA","95814"
"CALIFORNIA YIMBY VICTORY FUND","org_rg_100","org_rg_100","e5c2f0d4-7cad-45a3-b769-5d496d552c37","CA YIMBY VICTORY FUND","adding_to_existing",TRUE,TRUE,"exact_name_v1 | map1_bridge | same_contributor_id | exact_name_v1 | same_contributor_id","1401346",9,45000,15500,TRUE,"Sacramento","CA","95814"
"YIMBY ACTION","org_rg_100","org_rg_100","8c08d0e5-89aa-415f-89ae-d80e6b36387e",NA,"adding_to_existing",TRUE,FALSE,"map1_bridge","1408224",1,3500,15500,TRUE,"San Francisco","CA","94114"
"INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES LEGISLATIVE EDUCATIONAL COMMITTEE (MPO)","org_rg_108","org_rg_108","d2cd4ef5-2b6a-4b3d-a91b-fdc7740a8bea","INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES","adding_to_existing",TRUE,TRUE,"exact_name_v1 | internal_fuzzy+map1_bridge | map1_bridge | same_contributor_id | exact_name_v1 | same_contributor_id","1414164",9,2840762.45,44200,FALSE,"Hanover","MD","21076"
"INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES (IUPAT) POLITICAL ACTION TOGETHER LEGISLATIVE EDUCATIONAL COMMITTEE (MPO)","org_rg_108","org_rg_108","d2cd4ef5-2b6a-4b3d-a91b-fdc7740a8bea","INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES","adding_to_existing",TRUE,TRUE,"map1_bridge | same_contributor_id","1414164",1,3000,44200,FALSE,"Hanover","MD","21076"
"INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES DISTRICT COUNCIL 16","org_rg_108","org_rg_108","ea62657f-d519-428c-b6b7-3809c94576f2",NA,"adding_to_existing",TRUE,FALSE,"map1_bridge",NA,1,250000,44200,FALSE,"Livermore","CA","94551"
"INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES POLITICAL ACTION TOGETHER POLITICAL COMMITTEE","org_rg_108","org_rg_108","e647ca7e-57a3-4be7-a03c-8802da981eae",NA,"adding_to_existing",TRUE,FALSE,"internal_fuzzy+map1_bridge | map1_bridge",NA,1,39200,44200,TRUE,"Hanover","MD","21076-1307"
"PAINTERS & ALLIED TRADES #36 (INTERMEDIARY FOR UNITEMIZED UNION MEMBER CONTRIBUTIONS)","org_rg_108","org_rg_108","7abbcb81-325f-40f2-8bd4-c60512f449ba",NA,"adding_to_existing",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,6,115260.05,44200,FALSE,"Pasadena","CA","91101 | 91101-"
"PAINTERS & ALLIED TRADES DISTRICT COUNCIL 36 (INTERMEDIARY FOR UNITEMIZED DUES)","org_rg_108","org_rg_108","443aed33-595f-448b-9229-67797ff9f424",NA,"adding_to_existing",TRUE,FALSE,"exact_name_v1 | exact_name_v5",NA,5,13266,44200,FALSE,"Monterey Park","CA","91754"
"PAINTERS ALLIED TRADES DISTRICT COUNCIL 36 (DC36)","org_rg_108","org_rg_108","443aed33-595f-448b-9229-67797ff9f424",NA,"adding_to_existing",TRUE,FALSE,"exact_name_v1 | exact_name_v5 | exact_name_v1 | exact_name_v5 | internal_fuzzy | map1_bridge",NA,14,458.24,44200,FALSE,"Monterey Park","CA","91754-7604"
"PAINTERS AND ALLIED TRADES DISTRICT COUNCIL NO. 36","org_rg_108","org_rg_108","ac2c7814-198d-44e3-8ac6-40ecc2c1f716",NA,"adding_to_existing",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,12,10633.07,44200,FALSE,"Monterey Park","CA","91754-7604"
"PAINTERS AND ALLIED TRADES DISTRICT COUNCIL NO. 36 POLITICAL ACTION COMMITTEE","org_rg_108","org_rg_108","080f694f-c9dc-42ee-8cde-3281aa156438",NA,"adding_to_existing",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy | map1_bridge","743641",2,12000,44200,TRUE,"Monterey Park","CA","91754 | 91754-7604"
"CALIFORNIA TEAMSTERS PUBLIC AFFAIRS COUNCIL SMALL CONTRIBUTOR COMMITTEE","org_rg_126","org_rg_126","29f633c8-20b6-4547-b80f-1d596c11cd7b",NA,"new_entity",TRUE,FALSE,"map1_bridge | same_contributor_id","742500",1,10000,7572.14,FALSE,"Sacramento","CA","95814"
"CALIFORNIA TEAMSTERS PUBLIC AFFAIRS COUNCIL, PUBLIC AFFAIRS","org_rg_126","org_rg_126","29f633c8-20b6-4547-b80f-1d596c11cd7b",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | map1_bridge | same_contributor_id | exact_name_v1 | same_contributor_id","742500",18,2775.2,7572.14,FALSE,"Sacramento","CA","95814"
"DRIVE - DEM, REP, IND VOTER EDUCATION (THE PAC OF THE INT'L BRHD OF TEAMSTERS)","org_rg_126","org_rg_126","bdebac24-46cb-4f53-bd7b-3e97b1473034",NA,"new_entity",TRUE,FALSE,"same_contributor_id","880969",1,50000,7572.14,FALSE,"Washington","DC","20001-2198"
"GENERAL TEAMSTERS LOCAL UNION 315 PAC","org_rg_126","org_rg_126","5a954779-aba0-4b69-805a-42130155a900",NA,"new_entity",TRUE,FALSE,"map1_bridge","861299",1,1000,7572.14,FALSE,"Martinez","CA","94553"
"TEAMSTERS 2010","org_rg_126","org_rg_126","51d91a25-e7fc-4bb8-adce-694a218f1f12",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,11,956.89,7572.14,TRUE,"Bellflower","CA","90706-5411"
"TEAMSTERS 396","org_rg_126","org_rg_126","6dd88dac-ceb2-47a2-b489-0fcc25dd28fa",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,11,3554.93,7572.14,TRUE,"Covina","CA","91724-0603"
"TEAMSTERS 986","org_rg_126","org_rg_126","75534f2c-d638-4814-b529-d6cc472a50ab",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,11,1688.64,7572.14,TRUE,"South El Monte","CA","91733-4412"
"TEAMSTERS AUTOMOTIVE LOCAL UNION NO. 665","org_rg_126","org_rg_126","79e7c623-6086-4249-9905-7a4fdfb3e6fd",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,8,2908,7572.14,TRUE,"SAN FRANCISCO","CA","94134"
"TEAMSTERS LOCAL #137 (INTERMEDIARY FOR UNITEMIZED UNION MEMBER CONTRIBUTIONS)","org_rg_126","org_rg_126","ad0ecfdf-78ad-4cf7-b4b6-2dfdfbfa7448",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy | internal_fuzzy+map1_bridge | map1_bridge",NA,9,210.16,7572.14,TRUE,"Redding","CA","96001"
"TEAMSTERS LOCAL #150 (INTERMEDIARY FOR UNITEMIZED UNION MEMBER CONTRIBUTIONS)","org_rg_126","org_rg_126","fb27c45a-5033-409e-98ff-95b2fd798918",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy+map1_bridge | map1_bridge",NA,23,1772.77,7572.14,TRUE,"Sacramento","CA","95823"
"TEAMSTERS LOCAL #287 (INTERMEDIARY FOR UNITEMIZED UNION MEMBER CONTRIBUTIONS)","org_rg_126","org_rg_126","555d6bb5-6996-4ee3-bd57-b83d3c729694",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy+map1_bridge | map1_bridge",NA,7,101.51,7572.14,TRUE,"Martinez","CA","94553"
"TEAMSTERS LOCAL #315 (INTERMEDIARY FOR UNITEMIZED UNION MEMBER CONTRIBUTIONS)","org_rg_126","org_rg_126","8199bd8a-d8a4-4866-9104-9b297e4e232a",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy | internal_fuzzy+map1_bridge | map1_bridge",NA,22,877.19,7572.14,TRUE,"Martinez","CA","94553"
"TEAMSTERS LOCAL #431 (INTERMEDIARY FOR UNITEMIZED UNION MEMBER CONTRIBUTIONS)","org_rg_126","org_rg_126","59458f9d-c841-4020-ad34-a3915a2d4758",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,26,2954.54,7572.14,TRUE,"Fresno","CA","93728"
"TEAMSTERS LOCAL #439 (INTERMEDIARY FOR UNITEMIZED UNION MEMBER CONTRIBUTIONS)","org_rg_126","org_rg_126","459613df-5340-4d87-a8f0-036f5f912f6e",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy | internal_fuzzy+map1_bridge | map1_bridge",NA,12,355.36,7572.14,TRUE,"Stockton","CA","95201- | 95205"
"TEAMSTERS LOCAL #533 (INTERMEDIARY FOR UNITEMIZED UNION MEMBER CONTRIBUTIONS)","org_rg_126","org_rg_126","481a48c9-fc76-4683-b413-bf1816903b44",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,7,407.33,7572.14,TRUE,"Reno","NV","89512"
