"entity_name","review_group_id","original_group_id","entity_id","canonical_name","entity_status","conflicting_contributor_ids","confirmed","is_conflict","link_methods","Contributor.ID","n_contributions","total_amount","max_single_recipient","same_recipient_variant","city","state","zip"
"CFT COPE PROP/BALLOT","org_rg_12","org_rg_12","fbf0d247-e846-45d4-8fbe-eb79e6cd0240",NA,"adding_to_existing",TRUE,FALSE,FALSE,"map1_bridge | same_contributor_id","1240104",1,600,28600,FALSE,"Sacramento","CA","95814"
"LOMPOC FEDERATION OF TEACHERS-LOCAL 3151 (INTERMEDIARY FOR UNITEMIZED MEMBER CONTRIBUTIONS)","org_rg_12","org_rg_12","7b2b2420-d46a-4ca3-8f88-55e3ad2ecfa2",NA,"adding_to_existing",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,3,994.5,28600,FALSE,"Santa Clara","CA","95050"
"MENDOCINO COLLEGE FEDERATION OF TEACHERS (UNITEMIZED MEMBER CONTRIBUTIONS)","org_rg_12","org_rg_12","dfc8adfe-56ff-44bb-adb6-08cc863ccef3",NA,"adding_to_existing",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge | name_v4_cross | name_v5_cross",NA,13,2823,28600,TRUE,"Ukiah","CA","95482"
"MENDOCINO COLLEGE FEDERATION OF TEACHERS (UNITEMIZED MEMBER DUES)","org_rg_12","org_rg_12","dfc8adfe-56ff-44bb-adb6-08cc863ccef3",NA,"adding_to_existing",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross",NA,10,3132.06,28600,TRUE,"Ukiah","CA","95482"
"PETALUMA FEDERATION OF TEACHERS COPE","org_rg_12","org_rg_12","c42a61ec-6968-47f8-8fd1-45bf54e99499",NA,"adding_to_existing",TRUE,FALSE,FALSE,"map1_bridge","1373632",1,9000,28600,TRUE,"Petaluma","CA","94954"
"WEST VALLEY-MISSION FEDERATION OF TEACHERS (UNITEMIZED MEMBER CONTRIBUTIONS)","org_rg_12","org_rg_12","6ba32e9d-d661-4c51-b2a9-05ad531d8dfc",NA,"adding_to_existing",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,12,13945.63,28600,TRUE,"Burbank","CA","91505"
"YUBA COLLEGE FEDERATION OF TEACHERS (UNITEMIZED MEMBER CONTRIBUTIONS)","org_rg_12","org_rg_12","cb614789-8576-4b8b-8372-b1136fa8426b",NA,"adding_to_existing",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,6,5167.99,28600,TRUE,"Burbank | Yuba City","CA","91505 | 95991"
"BUILDING A STRONGER CALIFORNIA, SPONSORED BY WESTERN STATES REGIONAL COUNCIL OF CARPENTERS","org_rg_156","org_rg_156","0428d03d-492c-4428-8c34-8a72f7a25e58",NA,"new_entity",TRUE,FALSE,FALSE,"name_v5_cross | same_contributor_id","870169",1,3000,324555.33,FALSE,"Los Angeles","CA","90071"
"BUILDING A STRONGER WEST SPONSORED BY WESTERN STATES REGIONAL COUNCIL OF CARPENTERS","org_rg_156","org_rg_156","0428d03d-492c-4428-8c34-8a72f7a25e58",NA,"new_entity",TRUE,FALSE,FALSE,"name_v5_cross | same_contributor_id | same_contributor_id","870169",9,186000,324555.33,FALSE,"Los Angeles","CA","90071"
"BUILDING A STRONGER WEST, SPONSORED BY WESTERN STATES REGIONAL COUNCIL OF CARPENTERS","org_rg_156","org_rg_156","0428d03d-492c-4428-8c34-8a72f7a25e58",NA,"new_entity",TRUE,FALSE,FALSE,"name_v5_cross | same_contributor_id | same_contributor_id","870169",7,344000,324555.33,FALSE,"Los Angeles","CA","90071 | 90071-1712"
"CALIFORNIA CONFERENCE OF CARPENTERS","org_rg_156","org_rg_156","e1b161dd-9e63-41e2-a86d-0cccd990a8eb",NA,"new_entity",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,18,16891.14,324555.33,TRUE,"Oakland","CA","94621"
"NORTH COAST STATES REGIONAL COUNCIL OF CARPENTERS POWER PAC","org_rg_156","org_rg_156","02fb3c00-5125-432e-a017-77c209b300e3",NA,"new_entity",TRUE,FALSE,FALSE,"same_contributor_id","1463224",1,19600,324555.33,FALSE,"Oakland","CA","94621-1480"
"NORTH COAST STATES REGIONAL COUNCIL OF CARPENTERS SMALL CONTRIBUTOR COMMITTEE","org_rg_156","org_rg_156","9e62cbc2-f7d4-4056-b452-bbb52b5369ef",NA,"new_entity",TRUE,FALSE,FALSE,"same_contributor_id","972104",1,39200,324555.33,FALSE,"Sacramento","CA","95814-0834"
"NORTHERN CALIFORNA CARPENTERS REGIONAL COUNCIL","org_rg_156","org_rg_156","9e62cbc2-f7d4-4056-b452-bbb52b5369ef",NA,"new_entity",TRUE,FALSE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","972104",3,49200,324555.33,TRUE,"Oakland | Sacramento","CA","94621 | 95814"
"NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL (INTERMEDIARY FOR UNITEMIZED UNION MEMBER CONTRIBUTIONS)","org_rg_156","org_rg_156","9e62cbc2-f7d4-4056-b452-bbb52b5369ef",NA,"new_entity",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross",NA,12,307664.19,324555.33,TRUE,"Oakland","CA","94621"
"NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL ISSUES PAC","org_rg_156","org_rg_156","c2010f15-9617-4033-9fd5-3a53f83eebf7",NA,"new_entity",TRUE,FALSE,FALSE,"map1_bridge","1219354",1,2e+05,324555.33,FALSE,"Sacramento","CA","95814-2328"
