pac_id,pac_name,industry,amount,total_received,pct_of_total
1268914,REFORM CALIFORNIA WITH CARL DE MAIO - BALLOT MEASURE COMMITTEE,40,81031.344853541,6155502.810001109,0.01316404968930985
1268914,REFORM CALIFORNIA WITH CARL DE MAIO - BALLOT MEASURE COMMITTEE,60,47482.42072907409,6155502.810001109,0.007713816757897888
1268914,REFORM CALIFORNIA WITH CARL DE MAIO - BALLOT MEASURE COMMITTEE,79,46943.66901109651,6155502.810001109,0.007626293165657421
1268914,REFORM CALIFORNIA WITH CARL DE MAIO - BALLOT MEASURE COMMITTEE,50,38376.9007272175,6155502.810001109,0.006234567981167178
1268914,REFORM CALIFORNIA WITH CARL DE MAIO - BALLOT MEASURE COMMITTEE,90,28999.011468952867,6155502.810001109,0.0047110711121497555
1268914,REFORM CALIFORNIA WITH CARL DE MAIO - BALLOT MEASURE COMMITTEE,52,25462.82702823961,6155502.810001109,0.0041365957930957434
1268914,REFORM CALIFORNIA WITH CARL DE MAIO - BALLOT MEASURE COMMITTEE,20,25160.448361977746,6155502.810001109,0.004087472484148409
1268914,REFORM CALIFORNIA WITH CARL DE MAIO - BALLOT MEASURE COMMITTEE,31-33,20514.124787699417,6155502.810001109,0.0033326481070513427
1268914,REFORM CALIFORNIA WITH CARL DE MAIO - BALLOT MEASURE COMMITTEE,92a,505.0984871120671,6155502.810001109,8.205641402541674e-5
1268914,REFORM CALIFORNIA WITH CARL DE MAIO - BALLOT MEASURE COMMITTEE,21,308.83445780915366,6155502.810001109,5.0172092734224264e-5
1268914,REFORM CALIFORNIA WITH CARL DE MAIO - BALLOT MEASURE COMMITTEE,11,177.3399898761311,6155502.810001109,2.8809992514015142e-5
1268914,REFORM CALIFORNIA WITH CARL DE MAIO - BALLOT MEASURE COMMITTEE,80,175.29568833130043,6155502.810001109,2.8477882919083397e-5
1268914,REFORM CALIFORNIA WITH CARL DE MAIO - BALLOT MEASURE COMMITTEE,77,88.87681227922035,6155502.810001109,1.4438595029932954e-5
1268914,REFORM CALIFORNIA WITH CARL DE MAIO - BALLOT MEASURE COMMITTEE,76,3.865906412014022,6155502.810001109,6.280407192297789e-7
1268914,REFORM CALIFORNIA WITH CARL DE MAIO - BALLOT MEASURE COMMITTEE,70,0.5560650198508807,6155502.810001109,9.033624660968688e-8
1268914,REFORM CALIFORNIA WITH CARL DE MAIO - BALLOT MEASURE COMMITTEE,92,0.27466622076737995,6155502.810001109,4.462124853896874e-8
1269303,SAN BERNARDINO COUNTY PROFESSIONAL FIREFIGHTERS LOCAL 935 STATE PAC FUND,77,10029.5,10029.5,1
1272633,CALIFORNIA LIFE SCIENCES POLITICAL ACTION COMMITTEE,50,126485,252085,0.5017553602951386
1272633,CALIFORNIA LIFE SCIENCES POLITICAL ACTION COMMITTEE,31-33,120600,252085,0.4784100600987762
1272633,CALIFORNIA LIFE SCIENCES POLITICAL ACTION COMMITTEE,99,5000,252085,0.01983457960608525
1273063,Service Employees International Union Local 1000 Candidate PAC,77,1362357.66,1362357.66,1
1274157,CALIFORNIA RETAILERS ASSOCIATION ISSUES COMMITTEE,31-33,50000,106000,0.4716981132075472
1274157,CALIFORNIA RETAILERS ASSOCIATION ISSUES COMMITTEE,80,35000,106000,0.330188679245283
1274157,CALIFORNIA RETAILERS ASSOCIATION ISSUES COMMITTEE,20,10000,106000,0.09433962264150944
1274157,CALIFORNIA RETAILERS ASSOCIATION ISSUES COMMITTEE,40,6000,106000,0.05660377358490566
1274157,CALIFORNIA RETAILERS ASSOCIATION ISSUES COMMITTEE,99,5000,106000,0.04716981132075472
1275328,"CHAMBERPAC SMALL CONTRIBUTOR COMMITTEE, SPONSORED BY CA CHAMBER OF COMMERCE",99,87817,87817,1
1275549,CALIFORNIANS FOR JOBS AND A STRONG ECONOMY,20,973931.8401989307,5490114,0.1773973801270667
1275549,CALIFORNIANS FOR JOBS AND A STRONG ECONOMY,31-33,698239.0768243123,5490114,0.1271811617799398
1275549,CALIFORNIANS FOR JOBS AND A STRONG ECONOMY,40,622885.1047302547,5490114,0.11345576881104012
1275549,CALIFORNIANS FOR JOBS AND A STRONG ECONOMY,80,434694.23000858625,5490114,0.07917763274288772
1275549,CALIFORNIANS FOR JOBS AND A STRONG ECONOMY,60,430947.4326722687,5490114,0.0784951701681001
1275549,CALIFORNIANS FOR JOBS AND A STRONG ECONOMY,77,415038.8680605372,5490114,0.07559749543644034
1275549,CALIFORNIANS FOR JOBS AND A STRONG ECONOMY,21,394729.3170280262,5490114,0.07189820047963051
1275549,CALIFORNIANS FOR JOBS AND A STRONG ECONOMY,52,338867.4061682162,5490114,0.061723200313912645
1275549,CALIFORNIANS FOR JOBS AND A STRONG ECONOMY,79,305971.5710261221,5490114,0.055731369335158085
1275549,CALIFORNIANS FOR JOBS AND A STRONG ECONOMY,92,300000,5490114,0.05464367406578443
1275549,CALIFORNIANS FOR JOBS AND A STRONG ECONOMY,99,149121.41523409303,5490114,0.027161806700934266
1275549,CALIFORNIANS FOR JOBS AND A STRONG ECONOMY,76,125370.66542969769,5490114,0.022835712597169693
1275549,CALIFORNIANS FOR JOBS AND A STRONG ECONOMY,92a,105000,5490114,0.019125285923024548
1275549,CALIFORNIANS FOR JOBS AND A STRONG ECONOMY,50,103762.74534297983,5490114,0.0188999254556426
1275549,CALIFORNIANS FOR JOBS AND A STRONG ECONOMY,70,50293.609733924466,5490114,0.009160758726307772
1275549,CALIFORNIANS FOR JOBS AND A STRONG ECONOMY,100,25993.84766301397,5490114,0.004734664464711292
1275549,CALIFORNIANS FOR JOBS AND A STRONG ECONOMY,76a,10000,5490114,0.0018214558021928142
1275549,CALIFORNIANS FOR JOBS AND A STRONG ECONOMY,11,5266.869879036267,5490114,9.593370700565173e-4
1277874,Wine Institute California PAC,11,100000,120203.08,0.8319254381834476
1277874,Wine Institute California PAC,76,20203.08,120203.08,0.16807456181655248
1280263,Plumbers and Steamfitters Local 460 PAC,77,59830.530000000006,59830.530000000006,1
